age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,1303568,tbalc,0,10,0,0,0,5,female_tbalc,England
1,female,0,0,0,1e-8,1303568,tbalc,0,10,0,0,0,5,female_tbalc,England
2,female,0,0,0,1e-8,1303568,tbalc,0,10,0,0,0,5,female_tbalc,England
3,female,0,0,0,1e-8,1303568,tbalc,0,10,0,0,0,5,female_tbalc,England
4,female,0,0,0,1e-8,1303568,tbalc,0,10,0,0,0,5,female_tbalc,England
5,female,0,0,0,1e-8,1360455,tbalc,0,10,5,0,0,5,female_tbalc,England
6,female,0,0,0,1e-8,1360455,tbalc,0,10,5,0,0,5,female_tbalc,England
7,female,0,0,0,1e-8,1360455,tbalc,0,10,5,0,0,5,female_tbalc,England
8,female,0,0,0,1e-8,1360455,tbalc,0,10,5,0,0,5,female_tbalc,England
9,female,0,0,0,1e-8,1360455,tbalc,0,10,5,0,0,5,female_tbalc,England
10,female,0,0,0,1e-8,1253968,tbalc,0,50,10,0,0,5,female_tbalc,England
11,female,0,0,0,1e-8,1253968,tbalc,0,50,10,0,0,5,female_tbalc,England
12,female,0,0,0,1e-8,1253968,tbalc,0,50,10,0,0,5,female_tbalc,England
13,female,0,0,0,1e-8,1253968,tbalc,0,50,10,0,0,5,female_tbalc,England
14,female,0,0,0,1e-8,1253968,tbalc,0,50,10,0,0,5,female_tbalc,England
15,female,3.269424113688226e-7,1.290774912479848e-7,7.08224714022971e-7,4.6707266052013675e-7,1237874,tbalc,0,50,15,0,0,5,female_tbalc,England
16,female,3.269424113688226e-7,1.290774912479848e-7,7.08224714022971e-7,4.6707266052013675e-7,1237874,tbalc,0,50,15,0,0,5,female_tbalc,England
17,female,3.269424113688226e-7,1.290774912479848e-7,7.08224714022971e-7,4.6707266052013675e-7,1237874,tbalc,0,50,15,0,0,5,female_tbalc,England
18,female,3.269424113688226e-7,1.290774912479848e-7,7.08224714022971e-7,4.6707266052013675e-7,1237874,tbalc,0,50,15,0,0,5,female_tbalc,England
19,female,3.269424113688226e-7,1.290774912479848e-7,7.08224714022971e-7,4.6707266052013675e-7,1237874,tbalc,0,50,15,0,0,5,female_tbalc,England
20,female,6.309411741867989e-7,3.0602927377434275e-7,1.9143178680930483e-6,1.0500741147221312e-6,1387453,tbalc,0,50,20,0,1,5,female_tbalc,England
21,female,6.309411741867989e-7,3.0602927377434275e-7,1.9143178680930483e-6,1.0500741147221312e-6,1387453,tbalc,0,50,20,0,1,5,female_tbalc,England
22,female,6.309411741867989e-7,3.0602927377434275e-7,1.9143178680930483e-6,1.0500741147221312e-6,1387453,tbalc,0,50,20,0,1,5,female_tbalc,England
23,female,6.309411741867989e-7,3.0602927377434275e-7,1.9143178680930483e-6,1.0500741147221312e-6,1387453,tbalc,0,50,20,0,1,5,female_tbalc,England
24,female,6.309411741867989e-7,3.0602927377434275e-7,1.9143178680930483e-6,1.0500741147221312e-6,1387453,tbalc,0,50,20,0,1,5,female_tbalc,England
25,female,1.481551029574871e-6,8.752216082028357e-7,6.116592008454528e-6,2.847490689519496e-6,1583607,tbalc,0,50,25,0,2,5,female_tbalc,England
26,female,1.481551029574871e-6,8.752216082028357e-7,6.116592008454528e-6,2.847490689519496e-6,1583607,tbalc,0,50,25,0,2,5,female_tbalc,England
27,female,1.481551029574871e-6,8.752216082028357e-7,6.116592008454528e-6,2.847490689519496e-6,1583607,tbalc,0,50,25,0,2,5,female_tbalc,England
28,female,1.481551029574871e-6,8.752216082028357e-7,6.116592008454528e-6,2.847490689519496e-6,1583607,tbalc,0,50,25,0,2,5,female_tbalc,England
29,female,1.481551029574871e-6,8.752216082028357e-7,6.116592008454528e-6,2.847490689519496e-6,1583607,tbalc,0,50,25,0,2,5,female_tbalc,England
30,female,5.587826177741721e-6,2.846620988957844e-6,1.8146420429027457e-5,9.684022934886768e-6,1578359,tbalc,0,50,30,0,9,5,female_tbalc,England
31,female,5.587826177741721e-6,2.846620988957844e-6,1.8146420429027457e-5,9.684022934886768e-6,1578359,tbalc,0,50,30,0,9,5,female_tbalc,England
32,female,5.587826177741721e-6,2.846620988957844e-6,1.8146420429027457e-5,9.684022934886768e-6,1578359,tbalc,0,50,30,0,9,5,female_tbalc,England
33,female,5.587826177741721e-6,2.846620988957844e-6,1.8146420429027457e-5,9.684022934886768e-6,1578359,tbalc,0,50,30,0,9,5,female_tbalc,England
34,female,5.587826177741721e-6,2.846620988957844e-6,1.8146420429027457e-5,9.684022934886768e-6,1578359,tbalc,0,50,30,0,9,5,female_tbalc,England
35,female,1.2656227891271862e-5,5.664248232679692e-6,3.575103275213703e-5,1.9355764889887634e-5,1498204,tbalc,0,50,35,0,19,5,female_tbalc,England
36,female,1.2656227891271862e-5,5.664248232679692e-6,3.575103275213703e-5,1.9355764889887634e-5,1498204,tbalc,0,50,35,0,19,5,female_tbalc,England
37,female,1.2656227891271862e-5,5.664248232679692e-6,3.575103275213703e-5,1.9355764889887634e-5,1498204,tbalc,0,50,35,0,19,5,female_tbalc,England
38,female,1.2656227891271862e-5,5.664248232679692e-6,3.575103275213703e-5,1.9355764889887634e-5,1498204,tbalc,0,50,35,0,19,5,female_tbalc,England
39,female,1.2656227891271862e-5,5.664248232679692e-6,3.575103275213703e-5,1.9355764889887634e-5,1498204,tbalc,0,50,35,0,19,5,female_tbalc,England
40,female,3.786035459881504e-5,1.5049069427882117e-5,9.447976046917403e-5,5.158419381591785e-5,1408651,tbalc,0,50,40,0,53,5,female_tbalc,England
41,female,3.786035459881504e-5,1.5049069427882117e-5,9.447976046917403e-5,5.158419381591785e-5,1408651,tbalc,0,50,40,0,53,5,female_tbalc,England
42,female,3.786035459881504e-5,1.5049069427882117e-5,9.447976046917403e-5,5.158419381591785e-5,1408651,tbalc,0,50,40,0,53,5,female_tbalc,England
43,female,3.786035459881504e-5,1.5049069427882117e-5,9.447976046917403e-5,5.158419381591785e-5,1408651,tbalc,0,50,40,0,53,5,female_tbalc,England
44,female,3.786035459881504e-5,1.5049069427882117e-5,9.447976046917403e-5,5.158419381591785e-5,1408651,tbalc,0,50,40,0,53,5,female_tbalc,England
45,female,1.0296133469606738e-4,3.784489901706287e-5,2.3299392266571035e-4,1.329584935340143e-4,1575993,tbalc,0,50,45,0,162,5,female_tbalc,England
46,female,1.0296133469606738e-4,3.784489901706287e-5,2.3299392266571035e-4,1.329584935340143e-4,1575993,tbalc,0,50,45,0,162,5,female_tbalc,England
47,female,1.0296133469606738e-4,3.784489901706287e-5,2.3299392266571035e-4,1.329584935340143e-4,1575993,tbalc,0,50,45,0,162,5,female_tbalc,England
48,female,1.0296133469606738e-4,3.784489901706287e-5,2.3299392266571035e-4,1.329584935340143e-4,1575993,tbalc,0,50,45,0,162,5,female_tbalc,England
49,female,1.0296133469606738e-4,3.784489901706287e-5,2.3299392266571035e-4,1.329584935340143e-4,1575993,tbalc,0,50,45,0,162,5,female_tbalc,England
50,female,2.2264513228344287e-4,9.291740261402307e-5,6.906103561316065e-4,3.146826471940535e-4,1582582,tbalc,0,50,50,0,352,5,female_tbalc,England
51,female,2.2264513228344287e-4,9.291740261402307e-5,6.906103561316065e-4,3.146826471940535e-4,1582582,tbalc,0,50,50,0,352,5,female_tbalc,England
52,female,2.2264513228344287e-4,9.291740261402307e-5,6.906103561316065e-4,3.146826471940535e-4,1582582,tbalc,0,50,50,0,352,5,female_tbalc,England
53,female,2.2264513228344287e-4,9.291740261402307e-5,6.906103561316065e-4,3.146826471940535e-4,1582582,tbalc,0,50,50,0,352,5,female_tbalc,England
54,female,2.2264513228344287e-4,9.291740261402307e-5,6.906103561316065e-4,3.146826471940535e-4,1582582,tbalc,0,50,50,0,352,5,female_tbalc,England
55,female,4.6816669793572603e-4,2.0789407343168014e-4,0.001733964086152756,6.952000327604212e-4,1390203,tbalc,0,50,55,0,651,5,female_tbalc,England
56,female,4.6816669793572603e-4,2.0789407343168014e-4,0.001733964086152756,6.952000327604212e-4,1390203,tbalc,0,50,55,0,651,5,female_tbalc,England
57,female,4.6816669793572603e-4,2.0789407343168014e-4,0.001733964086152756,6.952000327604212e-4,1390203,tbalc,0,50,55,0,651,5,female_tbalc,England
58,female,4.6816669793572603e-4,2.0789407343168014e-4,0.001733964086152756,6.952000327604212e-4,1390203,tbalc,0,50,55,0,651,5,female_tbalc,England
59,female,4.6816669793572603e-4,2.0789407343168014e-4,0.001733964086152756,6.952000327604212e-4,1390203,tbalc,0,50,55,0,651,5,female_tbalc,England
60,female,8.208445314794046e-4,3.4574626720935904e-4,0.002899506115895655,0.0011879032754793161,1195743,tbalc,0,50,60,0,981,5,female_tbalc,England
61,female,8.208445314794046e-4,3.4574626720935904e-4,0.002899506115895655,0.0011879032754793161,1195743,tbalc,0,50,60,0,981,5,female_tbalc,England
62,female,8.208445314794046e-4,3.4574626720935904e-4,0.002899506115895655,0.0011879032754793161,1195743,tbalc,0,50,60,0,981,5,female_tbalc,England
63,female,8.208445314794046e-4,3.4574626720935904e-4,0.002899506115895655,0.0011879032754793161,1195743,tbalc,0,50,60,0,981,5,female_tbalc,England
64,female,8.208445314794046e-4,3.4574626720935904e-4,0.002899506115895655,0.0011879032754793161,1195743,tbalc,0,50,60,0,981,5,female_tbalc,England
65,female,0.0013435857390047335,5.381440932528367e-4,0.0045451640705593864,0.0019139409514189953,1195564,tbalc,0,50,65,0,1605,5,female_tbalc,England
66,female,0.0013435857390047335,5.381440932528367e-4,0.0045451640705593864,0.0019139409514189953,1195564,tbalc,0,50,65,0,1605,5,female_tbalc,England
67,female,0.0013435857390047335,5.381440932528367e-4,0.0045451640705593864,0.0019139409514189953,1195564,tbalc,0,50,65,0,1605,5,female_tbalc,England
68,female,0.0013435857390047335,5.381440932528367e-4,0.0045451640705593864,0.0019139409514189953,1195564,tbalc,0,50,65,0,1605,5,female_tbalc,England
69,female,0.0013435857390047335,5.381440932528367e-4,0.0045451640705593864,0.0019139409514189953,1195564,tbalc,0,50,65,0,1605,5,female_tbalc,England
70,female,0.0018099191552893809,6.647187338102197e-4,0.005387578999935148,0.0024695763911840515,1045617,tbalc,0,50,70,0,1891,5,female_tbalc,England
71,female,0.0018099191552893809,6.647187338102197e-4,0.005387578999935148,0.0024695763911840515,1045617,tbalc,0,50,70,0,1891,5,female_tbalc,England
72,female,0.0018099191552893809,6.647187338102197e-4,0.005387578999935148,0.0024695763911840515,1045617,tbalc,0,50,70,0,1891,5,female_tbalc,England
73,female,0.0018099191552893809,6.647187338102197e-4,0.005387578999935148,0.0024695763911840515,1045617,tbalc,0,50,70,0,1891,5,female_tbalc,England
74,female,0.0018099191552893809,6.647187338102197e-4,0.005387578999935148,0.0024695763911840515,1045617,tbalc,0,50,70,0,1891,5,female_tbalc,England
75,female,0.0023784159953926785,8.025924234894563e-4,0.006131765992372385,0.0031527865453483284,778572,tbalc,0,50,75,0,1850,5,female_tbalc,England
76,female,0.0023784159953926785,8.025924234894563e-4,0.006131765992372385,0.0031527865453483284,778572,tbalc,0,50,75,0,1850,5,female_tbalc,England
77,female,0.0023784159953926785,8.025924234894563e-4,0.006131765992372385,0.0031527865453483284,778572,tbalc,0,50,75,0,1850,5,female_tbalc,England
78,female,0.0023784159953926785,8.025924234894563e-4,0.006131765992372385,0.0031527865453483284,778572,tbalc,0,50,75,0,1850,5,female_tbalc,England
79,female,0.0023784159953926785,8.025924234894563e-4,0.006131765992372385,0.0031527865453483284,778572,tbalc,0,50,75,0,1850,5,female_tbalc,England
80,female,0.002819221149737802,7.644055011513166e-4,0.005091205051719617,0.0033006774732091573,602821,tbalc,0,20,80,0,1697,5,female_tbalc,England
81,female,0.002819221149737802,7.644055011513166e-4,0.005091205051719617,0.0033006774732091573,602821,tbalc,0,20,80,0,1697,5,female_tbalc,England
82,female,0.002819221149737802,7.644055011513166e-4,0.005091205051719617,0.0033006774732091573,602821,tbalc,0,20,80,0,1697,5,female_tbalc,England
83,female,0.002819221149737802,7.644055011513166e-4,0.005091205051719617,0.0033006774732091573,602821,tbalc,0,20,80,0,1697,5,female_tbalc,England
84,female,0.002819221149737802,7.644055011513166e-4,0.005091205051719617,0.0033006774732091573,602821,tbalc,0,20,80,0,1697,5,female_tbalc,England
85,female,0.003187828947508974,8.274304501285546e-4,0.005284095311327773,0.003739740548830895,400548,tbalc,0,20,85,0,1275,5,female_tbalc,England
86,female,0.003187828947508974,8.274304501285546e-4,0.005284095311327773,0.003739740548830895,400548,tbalc,0,20,85,0,1275,5,female_tbalc,England
87,female,0.003187828947508974,8.274304501285546e-4,0.005284095311327773,0.003739740548830895,400548,tbalc,0,20,85,0,1275,5,female_tbalc,England
88,female,0.003187828947508974,8.274304501285546e-4,0.005284095311327773,0.003739740548830895,400548,tbalc,0,20,85,0,1275,5,female_tbalc,England
89,female,0.003187828947508974,8.274304501285546e-4,0.005284095311327773,0.003739740548830895,400548,tbalc,0,20,85,0,1275,5,female_tbalc,England
90,female,0.0032822735171956154,8.14299683831904e-4,0.0048096860419714815,0.0038621950898580426,200042,tbalc,0,10,90,0,656,5,female_tbalc,England
91,female,0.0032822735171956154,8.14299683831904e-4,0.0048096860419714815,0.0038621950898580426,200042,tbalc,0,10,90,0,656,5,female_tbalc,England
92,female,0.0032822735171956154,8.14299683831904e-4,0.0048096860419714815,0.0038621950898580426,200042,tbalc,0,10,90,0,656,5,female_tbalc,England
93,female,0.0032822735171956154,8.14299683831904e-4,0.0048096860419714815,0.0038621950898580426,200042,tbalc,0,10,90,0,656,5,female_tbalc,England
94,female,0.0032822735171956154,8.14299683831904e-4,0.0048096860419714815,0.0038621950898580426,200042,tbalc,0,10,90,0,656,5,female_tbalc,England
95,female,0.0036936259394168467,7.632109418344639e-4,0.002535144387339453,0.004354334956182568,53026,tbalc,0,10,95,0,195,6,female_tbalc,England
96,female,0.0036936259394168467,7.632109418344639e-4,0.002535144387339453,0.004354334956182568,53026,tbalc,0,10,95,0,195,6,female_tbalc,England
97,female,0.0036936259394168467,7.632109418344639e-4,0.002535144387339453,0.004354334956182568,53026,tbalc,0,10,95,0,195,6,female_tbalc,England
98,female,0.0036936259394168467,7.632109418344639e-4,0.002535144387339453,0.004354334956182568,53026,tbalc,0,10,95,0,195,6,female_tbalc,England
99,female,0.0036936259394168467,7.632109418344639e-4,0.002535144387339453,0.004354334956182568,53026,tbalc,0,10,95,0,195,6,female_tbalc,England
100,female,0.0036936259394168467,7.632109418344639e-4,0.002535144387339453,0.004354334956182568,53026,tbalc,0,10,95,0,195,6,female_tbalc,England
